,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore,bans,region
1,200,Win,True,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 53, 'pickTurn': 6}, {'championId': 119, 'pickTurn': 7}, {'championId': 777, 'pickTurn': 8}, {'championId': 114, 'pickTurn': 9}, {'championId': 24, 'pickTurn': 10}]",na1
0,100,Win,True,True,False,True,False,True,7,0,1,2,0,2,0,"[{'championId': 350, 'pickTurn': 1}, {'championId': 117, 'pickTurn': 2}, {'championId': 141, 'pickTurn': 3}, {'championId': 157, 'pickTurn': 4}, {'championId': 412, 'pickTurn': 5}]",na1
1,200,Fail,False,False,False,False,True,False,1,0,0,1,0,0,0,"[{'championId': 62, 'pickTurn': 6}, {'championId': 141, 'pickTurn': 7}, {'championId': 51, 'pickTurn': 8}, {'championId': 777, 'pickTurn': 9}, {'championId': 134, 'pickTurn': 10}]",na1
0,100,Win,True,True,True,True,True,True,11,3,1,3,0,2,0,"[{'championId': 28, 'pickTurn': 1}, {'championId': 164, 'pickTurn': 2}, {'championId': 9, 'pickTurn': 3}, {'championId': 62, 'pickTurn': 4}, {'championId': 39, 'pickTurn': 5}]",na1
1,200,Fail,False,False,False,False,False,False,0,0,0,1,0,0,0,"[{'championId': 51, 'pickTurn': 6}, {'championId': 141, 'pickTurn': 7}, {'championId': 53, 'pickTurn': 8}, {'championId': 22, 'pickTurn': 9}, {'championId': 24, 'pickTurn': 10}]",na1
0,100,Fail,False,False,False,True,True,False,3,0,1,2,0,0,0,"[{'championId': 164, 'pickTurn': 1}, {'championId': 38, 'pickTurn': 2}, {'championId': 53, 'pickTurn': 3}, {'championId': 142, 'pickTurn': 4}, {'championId': 20, 'pickTurn': 5}]",na1
1,200,Win,True,True,True,False,False,True,9,3,0,4,0,2,0,"[{'championId': 2, 'pickTurn': 6}, {'championId': 164, 'pickTurn': 7}, {'championId': 119, 'pickTurn': 8}, {'championId': 51, 'pickTurn': 9}, {'championId': 39, 'pickTurn': 10}]",na1
0,100,Fail,False,False,False,False,True,False,1,0,0,2,0,0,0,"[{'championId': 76, 'pickTurn': 1}, {'championId': 51, 'pickTurn': 2}, {'championId': 38, 'pickTurn': 3}, {'championId': 134, 'pickTurn': 4}, {'championId': 104, 'pickTurn': 5}]",na1
1,200,Win,True,True,True,False,False,True,9,1,0,0,0,2,0,"[{'championId': 134, 'pickTurn': 6}, {'championId': 236, 'pickTurn': 7}, {'championId': 80, 'pickTurn': 8}, {'championId': 412, 'pickTurn': 9}, {'championId': 164, 'pickTurn': 10}]",na1
0,100,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 51, 'pickTurn': 1}, {'championId': 54, 'pickTurn': 2}, {'championId': 104, 'pickTurn': 3}, {'championId': 164, 'pickTurn': 4}, {'championId': 24, 'pickTurn': 5}]",na1
1,200,Win,True,True,False,False,True,True,5,0,0,2,0,2,0,"[{'championId': 1, 'pickTurn': 6}, {'championId': 8, 'pickTurn': 7}, {'championId': 126, 'pickTurn': 8}, {'championId': 107, 'pickTurn': 9}, {'championId': 157, 'pickTurn': 10}]",na1
0,100,Fail,False,True,False,False,False,False,2,0,0,0,0,0,0,"[{'championId': 39, 'pickTurn': 1}, {'championId': 421, 'pickTurn': 2}, {'championId': 1, 'pickTurn': 3}, {'championId': 107, 'pickTurn': 4}, {'championId': 51, 'pickTurn': 5}]",na1
1,200,Win,True,False,True,True,True,True,7,1,1,4,0,1,0,"[{'championId': 245, 'pickTurn': 6}, {'championId': 3, 'pickTurn': 7}, {'championId': 51, 'pickTurn': 8}, {'championId': 39, 'pickTurn': 9}, {'championId': 22, 'pickTurn': 10}]",na1
0,100,Win,True,True,True,True,True,True,9,2,1,5,0,2,0,"[{'championId': 42, 'pickTurn': 1}, {'championId': 104, 'pickTurn': 2}, {'championId': 80, 'pickTurn': 3}, {'championId': 777, 'pickTurn': 4}, {'championId': 76, 'pickTurn': 5}]",na1
1,200,Fail,False,False,False,False,False,False,2,0,0,0,0,0,0,"[{'championId': 107, 'pickTurn': 6}, {'championId': 412, 'pickTurn': 7}, {'championId': 27, 'pickTurn': 8}, {'championId': 84, 'pickTurn': 9}, {'championId': 236, 'pickTurn': 10}]",na1
0,100,Win,True,True,True,False,False,False,10,2,1,4,0,1,0,"[{'championId': 76, 'pickTurn': 1}, {'championId': 28, 'pickTurn': 2}, {'championId': -1, 'pickTurn': 3}, {'championId': 107, 'pickTurn': 4}, {'championId': 38, 'pickTurn': 5}]",na1
1,200,Fail,False,False,False,True,True,True,3,0,2,2,0,1,0,"[{'championId': 76, 'pickTurn': 6}, {'championId': 107, 'pickTurn': 7}, {'championId': 122, 'pickTurn': 8}, {'championId': 53, 'pickTurn': 9}, {'championId': 51, 'pickTurn': 10}]",na1
0,100,Fail,True,True,False,False,False,True,7,0,1,4,0,2,0,"[{'championId': 104, 'pickTurn': 1}, {'championId': -1, 'pickTurn': 2}, {'championId': 55, 'pickTurn': 3}, {'championId': 58, 'pickTurn': 4}, {'championId': 51, 'pickTurn': 5}]",na1
1,200,Win,False,False,True,True,True,False,7,1,2,1,0,0,0,"[{'championId': 236, 'pickTurn': 6}, {'championId': 876, 'pickTurn': 7}, {'championId': 141, 'pickTurn': 8}, {'championId': 11, 'pickTurn': 9}, {'championId': 28, 'pickTurn': 10}]",na1
0,100,Fail,False,False,False,False,False,False,1,0,0,0,0,0,0,"[{'championId': 84, 'pickTurn': 1}, {'championId': 39, 'pickTurn': 2}, {'championId': 1, 'pickTurn': 3}, {'championId': 107, 'pickTurn': 4}, {'championId': 236, 'pickTurn': 5}]",na1
1,200,Win,True,True,True,True,True,True,10,2,1,3,0,2,0,"[{'championId': 28, 'pickTurn': 6}, {'championId': 236, 'pickTurn': 7}, {'championId': 76, 'pickTurn': 8}, {'championId': 8, 'pickTurn': 9}, {'championId': 1, 'pickTurn': 10}]",na1
0,100,Win,False,False,True,False,False,True,7,1,1,2,0,1,0,"[{'championId': 429, 'pickTurn': 1}, {'championId': 111, 'pickTurn': 2}, {'championId': 777, 'pickTurn': 3}, {'championId': 120, 'pickTurn': 4}, {'championId': 51, 'pickTurn': 5}]",na1
1,200,Fail,True,True,False,True,True,False,6,0,1,2,0,1,0,"[{'championId': 122, 'pickTurn': 6}, {'championId': -1, 'pickTurn': 7}, {'championId': 157, 'pickTurn': 8}, {'championId': 104, 'pickTurn': 9}, {'championId': 107, 'pickTurn': 10}]",na1
0,100,Win,True,True,True,True,False,True,10,2,1,2,0,2,0,"[{'championId': 164, 'pickTurn': 1}, {'championId': 120, 'pickTurn': 2}, {'championId': 111, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 777, 'pickTurn': 5}]",na1
1,200,Fail,False,False,False,False,True,False,1,0,0,1,0,0,0,"[{'championId': 107, 'pickTurn': 6}, {'championId': 119, 'pickTurn': 7}, {'championId': 51, 'pickTurn': 8}, {'championId': 76, 'pickTurn': 9}, {'championId': 104, 'pickTurn': 10}]",na1
0,100,Fail,True,False,False,False,False,True,1,0,0,0,0,1,0,"[{'championId': 51, 'pickTurn': 1}, {'championId': 122, 'pickTurn': 2}, {'championId': 236, 'pickTurn': 3}, {'championId': 20, 'pickTurn': 4}, {'championId': -1, 'pickTurn': 5}]",na1
1,200,Win,False,True,True,True,True,False,7,1,1,3,0,1,0,"[{'championId': 126, 'pickTurn': 6}, {'championId': 133, 'pickTurn': 7}, {'championId': 236, 'pickTurn': 8}, {'championId': 20, 'pickTurn': 9}, {'championId': 51, 'pickTurn': 10}]",na1
0,100,Win,True,True,True,False,False,False,5,1,0,0,0,0,0,"[{'championId': 106, 'pickTurn': 1}, {'championId': 11, 'pickTurn': 2}, {'championId': 777, 'pickTurn': 3}, {'championId': 114, 'pickTurn': 4}, {'championId': 107, 'pickTurn': 5}]",na1
1,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 76, 'pickTurn': 6}, {'championId': 107, 'pickTurn': 7}, {'championId': 517, 'pickTurn': 8}, {'championId': 412, 'pickTurn': 9}, {'championId': 126, 'pickTurn': 10}]",na1
0,100,Fail,True,True,False,True,False,True,3,0,1,0,0,1,0,"[{'championId': 9, 'pickTurn': 1}, {'championId': 164, 'pickTurn': 2}, {'championId': 119, 'pickTurn': 3}, {'championId': 777, 'pickTurn': 4}, {'championId': 236, 'pickTurn': 5}]",na1
1,200,Win,False,False,True,False,True,False,7,1,0,4,0,1,0,"[{'championId': 76, 'pickTurn': 6}, {'championId': 104, 'pickTurn': 7}, {'championId': 777, 'pickTurn': 8}, {'championId': 107, 'pickTurn': 9}, {'championId': 55, 'pickTurn': 10}]",na1
0,100,Win,False,True,False,False,True,False,2,0,0,2,0,0,0,"[{'championId': 141, 'pickTurn': 1}, {'championId': 51, 'pickTurn': 2}, {'championId': 84, 'pickTurn': 3}, {'championId': 412, 'pickTurn': 4}, {'championId': 107, 'pickTurn': 5}]",na1
1,200,Fail,True,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 92, 'pickTurn': 6}, {'championId': 76, 'pickTurn': 7}, {'championId': 84, 'pickTurn': 8}, {'championId': 51, 'pickTurn': 9}, {'championId': 119, 'pickTurn': 10}]",na1
0,100,Win,False,True,True,True,False,True,10,1,2,3,0,2,0,"[{'championId': 51, 'pickTurn': 1}, {'championId': 104, 'pickTurn': 2}, {'championId': 164, 'pickTurn': 3}, {'championId': 9, 'pickTurn': 4}, {'championId': 412, 'pickTurn': 5}]",na1
1,200,Fail,True,False,False,False,True,False,3,0,0,1,0,0,0,"[{'championId': 236, 'pickTurn': 6}, {'championId': 245, 'pickTurn': 7}, {'championId': 107, 'pickTurn': 8}, {'championId': 20, 'pickTurn': 9}, {'championId': 92, 'pickTurn': 10}]",na1
0,100,Win,False,False,False,False,False,False,4,1,0,0,0,0,0,[],na1
1,200,Fail,True,True,True,False,False,False,3,1,0,0,0,0,0,[],na1
0,100,Win,False,True,True,False,False,False,4,1,0,0,0,0,0,[],na1
1,200,Fail,True,False,False,False,False,False,1,0,0,0,0,0,0,[],na1
0,100,Win,True,False,True,False,False,False,4,1,0,0,0,0,0,[],na1
1,200,Fail,False,True,False,False,False,False,1,0,0,0,0,0,0,[],na1
0,100,Win,False,False,False,False,False,False,4,1,0,0,0,0,0,[],na1
1,200,Fail,True,True,True,False,False,False,3,1,0,0,0,0,0,[],na1
0,100,Fail,True,True,False,False,True,True,8,1,0,5,0,1,0,[],na1
1,200,Win,False,False,True,True,False,False,10,5,2,2,0,1,0,[],na1
0,100,Win,True,True,True,False,False,False,10,2,1,4,0,1,0,"[{'championId': 76, 'pickTurn': 1}, {'championId': 28, 'pickTurn': 2}, {'championId': -1, 'pickTurn': 3}, {'championId': 107, 'pickTurn': 4}, {'championId': 38, 'pickTurn': 5}]",na1
1,200,Fail,False,False,False,True,True,True,3,0,2,2,0,1,0,"[{'championId': 76, 'pickTurn': 6}, {'championId': 107, 'pickTurn': 7}, {'championId': 122, 'pickTurn': 8}, {'championId': 53, 'pickTurn': 9}, {'championId': 51, 'pickTurn': 10}]",na1
0,100,Fail,True,True,False,False,False,True,7,0,1,4,0,2,0,"[{'championId': 104, 'pickTurn': 1}, {'championId': -1, 'pickTurn': 2}, {'championId': 55, 'pickTurn': 3}, {'championId': 58, 'pickTurn': 4}, {'championId': 51, 'pickTurn': 5}]",na1
1,200,Win,False,False,True,True,True,False,7,1,2,1,0,0,0,"[{'championId': 236, 'pickTurn': 6}, {'championId': 876, 'pickTurn': 7}, {'championId': 141, 'pickTurn': 8}, {'championId': 11, 'pickTurn': 9}, {'championId': 28, 'pickTurn': 10}]",na1
0,100,Win,True,True,True,True,False,True,9,1,1,2,0,2,0,"[{'championId': 92, 'pickTurn': 1}, {'championId': 157, 'pickTurn': 2}, {'championId': 104, 'pickTurn': 3}, {'championId': 141, 'pickTurn': 4}, {'championId': 119, 'pickTurn': 5}]",na1
1,200,Fail,False,False,False,False,True,False,3,0,0,2,0,0,0,"[{'championId': 876, 'pickTurn': 6}, {'championId': 107, 'pickTurn': 7}, {'championId': 24, 'pickTurn': 8}, {'championId': 157, 'pickTurn': 9}, {'championId': 104, 'pickTurn': 10}]",na1
0,100,Fail,False,False,False,False,False,False,1,0,0,0,0,0,0,"[{'championId': 84, 'pickTurn': 1}, {'championId': 39, 'pickTurn': 2}, {'championId': 1, 'pickTurn': 3}, {'championId': 107, 'pickTurn': 4}, {'championId': 236, 'pickTurn': 5}]",na1
1,200,Win,True,True,True,True,True,True,10,2,1,3,0,2,0,"[{'championId': 28, 'pickTurn': 6}, {'championId': 236, 'pickTurn': 7}, {'championId': 76, 'pickTurn': 8}, {'championId': 8, 'pickTurn': 9}, {'championId': 1, 'pickTurn': 10}]",na1
0,100,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 76, 'pickTurn': 1}, {'championId': 51, 'pickTurn': 2}, {'championId': 104, 'pickTurn': 3}, {'championId': 26, 'pickTurn': 4}, {'championId': 119, 'pickTurn': 5}]",na1
1,200,Win,True,True,True,False,False,True,9,2,0,0,0,1,0,"[{'championId': 164, 'pickTurn': 6}, {'championId': 141, 'pickTurn': 7}, {'championId': 26, 'pickTurn': 8}, {'championId': 1, 'pickTurn': 9}, {'championId': 62, 'pickTurn': 10}]",na1
0,100,Win,True,True,True,True,True,False,10,1,1,4,0,0,0,"[{'championId': 38, 'pickTurn': 1}, {'championId': 24, 'pickTurn': 2}, {'championId': 104, 'pickTurn': 3}, {'championId': 120, 'pickTurn': 4}, {'championId': 161, 'pickTurn': 5}]",na1
1,200,Fail,False,False,False,False,False,True,3,0,0,0,0,1,0,"[{'championId': 238, 'pickTurn': 6}, {'championId': 22, 'pickTurn': 7}, {'championId': 142, 'pickTurn': 8}, {'championId': 92, 'pickTurn': 9}, {'championId': 427, 'pickTurn': 10}]",na1
0,100,Win,True,False,True,True,False,False,9,1,1,1,0,1,0,"[{'championId': 92, 'pickTurn': 1}, {'championId': 107, 'pickTurn': 2}, {'championId': 28, 'pickTurn': 3}, {'championId': 69, 'pickTurn': 4}, {'championId': 51, 'pickTurn': 5}]",na1
1,200,Fail,False,True,False,False,True,True,2,0,0,3,0,1,0,"[{'championId': 412, 'pickTurn': 6}, {'championId': 120, 'pickTurn': 7}, {'championId': 245, 'pickTurn': 8}, {'championId': 58, 'pickTurn': 9}, {'championId': 25, 'pickTurn': 10}]",na1
0,100,Win,False,True,True,False,False,True,7,1,0,3,0,1,0,"[{'championId': 26, 'pickTurn': 1}, {'championId': 134, 'pickTurn': 2}, {'championId': -1, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 122, 'pickTurn': 5}]",na1
1,200,Fail,True,False,False,True,True,False,3,0,1,1,0,0,0,"[{'championId': 1, 'pickTurn': 6}, {'championId': 131, 'pickTurn': 7}, {'championId': 92, 'pickTurn': 8}, {'championId': 104, 'pickTurn': 9}, {'championId': 35, 'pickTurn': 10}]",na1
0,100,Fail,True,True,False,False,False,True,2,0,0,0,0,1,0,"[{'championId': 7, 'pickTurn': 1}, {'championId': 104, 'pickTurn': 2}, {'championId': 24, 'pickTurn': 3}, {'championId': 876, 'pickTurn': 4}, {'championId': 28, 'pickTurn': 5}]",na1
1,200,Win,False,False,True,True,True,False,9,2,2,4,0,0,0,"[{'championId': 92, 'pickTurn': 6}, {'championId': 203, 'pickTurn': 7}, {'championId': 25, 'pickTurn': 8}, {'championId': 142, 'pickTurn': 9}, {'championId': 51, 'pickTurn': 10}]",na1
0,100,Fail,False,False,False,False,True,False,0,0,0,1,0,0,0,"[{'championId': 104, 'pickTurn': 1}, {'championId': 84, 'pickTurn': 2}, {'championId': 92, 'pickTurn': 3}, {'championId': -1, 'pickTurn': 4}, {'championId': 30, 'pickTurn': 5}]",na1
1,200,Win,True,True,False,False,False,True,3,0,0,1,0,2,0,"[{'championId': 126, 'pickTurn': 6}, {'championId': 107, 'pickTurn': 7}, {'championId': 28, 'pickTurn': 8}, {'championId': 777, 'pickTurn': 9}, {'championId': 350, 'pickTurn': 10}]",na1
0,100,Fail,False,True,False,False,True,True,6,0,0,2,0,1,0,"[{'championId': 38, 'pickTurn': 1}, {'championId': 777, 'pickTurn': 2}, {'championId': 104, 'pickTurn': 3}, {'championId': 85, 'pickTurn': 4}, {'championId': 28, 'pickTurn': 5}]",na1
1,200,Win,True,False,True,True,False,False,9,1,1,1,0,1,0,"[{'championId': 107, 'pickTurn': 6}, {'championId': 777, 'pickTurn': 7}, {'championId': 11, 'pickTurn': 8}, {'championId': 117, 'pickTurn': 9}, {'championId': 53, 'pickTurn': 10}]",na1
0,100,Win,True,False,False,True,True,False,3,0,1,2,0,0,0,"[{'championId': 876, 'pickTurn': 1}, {'championId': 92, 'pickTurn': 2}, {'championId': 51, 'pickTurn': 3}, {'championId': 142, 'pickTurn': 4}, {'championId': 141, 'pickTurn': 5}]",na1
1,200,Fail,False,True,False,False,False,True,3,0,0,1,0,1,0,"[{'championId': 51, 'pickTurn': 6}, {'championId': 9, 'pickTurn': 7}, {'championId': 164, 'pickTurn': 8}, {'championId': 4, 'pickTurn': 9}, {'championId': 104, 'pickTurn': 10}]",na1
0,100,Win,True,True,True,True,False,True,9,1,1,2,0,2,0,"[{'championId': 777, 'pickTurn': 1}, {'championId': 51, 'pickTurn': 2}, {'championId': 238, 'pickTurn': 3}, {'championId': 11, 'pickTurn': 4}, {'championId': 107, 'pickTurn': 5}]",na1
1,200,Fail,False,False,False,False,True,False,4,0,0,2,0,0,0,"[{'championId': 142, 'pickTurn': 6}, {'championId': 350, 'pickTurn': 7}, {'championId': 245, 'pickTurn': 8}, {'championId': 51, 'pickTurn': 9}, {'championId': 164, 'pickTurn': 10}]",na1
0,100,Win,True,True,False,False,False,True,3,0,0,1,0,1,0,"[{'championId': 236, 'pickTurn': 1}, {'championId': 62, 'pickTurn': 2}, {'championId': 107, 'pickTurn': 3}, {'championId': 245, 'pickTurn': 4}, {'championId': 777, 'pickTurn': 5}]",na1
1,200,Fail,False,False,False,False,True,False,0,0,0,1,0,0,0,"[{'championId': 7, 'pickTurn': 6}, {'championId': 157, 'pickTurn': 7}, {'championId': 20, 'pickTurn': 8}, {'championId': -1, 'pickTurn': 9}, {'championId': 51, 'pickTurn': 10}]",na1
0,100,Win,True,True,True,True,False,True,9,1,1,3,0,2,0,"[{'championId': 11, 'pickTurn': 1}, {'championId': 236, 'pickTurn': 2}, {'championId': 104, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 107, 'pickTurn': 5}]",na1
1,200,Fail,False,False,False,False,True,False,2,0,0,1,0,0,0,"[{'championId': 164, 'pickTurn': 6}, {'championId': 38, 'pickTurn': 7}, {'championId': 120, 'pickTurn': 8}, {'championId': 106, 'pickTurn': 9}, {'championId': 76, 'pickTurn': 10}]",na1
0,100,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 80, 'pickTurn': 1}, {'championId': 24, 'pickTurn': 2}, {'championId': -1, 'pickTurn': 3}, {'championId': 104, 'pickTurn': 4}, {'championId': 107, 'pickTurn': 5}]",na1
1,200,Win,True,True,True,False,True,True,10,1,0,3,0,2,0,"[{'championId': 777, 'pickTurn': 6}, {'championId': 876, 'pickTurn': 7}, {'championId': 141, 'pickTurn': 8}, {'championId': 11, 'pickTurn': 9}, {'championId': 107, 'pickTurn': 10}]",na1
0,100,Fail,False,False,False,False,True,True,1,0,0,2,0,1,0,"[{'championId': 84, 'pickTurn': 1}, {'championId': 412, 'pickTurn': 2}, {'championId': 80, 'pickTurn': 3}, {'championId': 107, 'pickTurn': 4}, {'championId': 117, 'pickTurn': 5}]",na1
1,200,Win,True,True,False,False,False,False,5,0,0,1,0,1,0,"[{'championId': 51, 'pickTurn': 6}, {'championId': 25, 'pickTurn': 7}, {'championId': 11, 'pickTurn': 8}, {'championId': 350, 'pickTurn': 9}, {'championId': 126, 'pickTurn': 10}]",na1
0,100,Fail,True,True,False,False,True,True,5,0,0,3,0,1,0,"[{'championId': 412, 'pickTurn': 1}, {'championId': 92, 'pickTurn': 2}, {'championId': 120, 'pickTurn': 3}, {'championId': 777, 'pickTurn': 4}, {'championId': 107, 'pickTurn': 5}]",na1
1,200,Win,False,False,True,True,False,False,6,1,1,0,0,0,0,"[{'championId': 104, 'pickTurn': 6}, {'championId': 38, 'pickTurn': 7}, {'championId': 777, 'pickTurn': 8}, {'championId': 107, 'pickTurn': 9}, {'championId': 350, 'pickTurn': 10}]",na1
0,100,Fail,False,False,False,False,False,False,3,0,0,0,0,0,0,"[{'championId': 107, 'pickTurn': 1}, {'championId': 432, 'pickTurn': 2}, {'championId': 555, 'pickTurn': 3}, {'championId': 412, 'pickTurn': 4}, {'championId': 777, 'pickTurn': 5}]",na1
1,200,Win,True,True,True,True,True,True,8,1,1,4,0,2,0,"[{'championId': -1, 'pickTurn': 6}, {'championId': 26, 'pickTurn': 7}, {'championId': 22, 'pickTurn': 8}, {'championId': 236, 'pickTurn': 9}, {'championId': 555, 'pickTurn': 10}]",na1
0,100,Fail,False,False,False,False,False,False,2,0,0,0,0,0,0,"[{'championId': 9, 'pickTurn': 1}, {'championId': 80, 'pickTurn': 2}, {'championId': 1, 'pickTurn': 3}, {'championId': 245, 'pickTurn': 4}, {'championId': 39, 'pickTurn': 5}]",na1
1,200,Win,True,True,True,False,True,True,9,1,0,3,0,2,0,"[{'championId': 11, 'pickTurn': 6}, {'championId': 53, 'pickTurn': 7}, {'championId': 22, 'pickTurn': 8}, {'championId': 107, 'pickTurn': 9}, {'championId': 76, 'pickTurn': 10}]",na1
0,100,Fail,False,False,False,False,True,False,2,0,0,2,0,0,0,"[{'championId': 84, 'pickTurn': 1}, {'championId': 9, 'pickTurn': 2}, {'championId': 28, 'pickTurn': 3}, {'championId': 107, 'pickTurn': 4}, {'championId': 777, 'pickTurn': 5}]",na1
1,200,Win,True,True,True,True,False,True,8,1,1,2,0,1,0,"[{'championId': 120, 'pickTurn': 6}, {'championId': 350, 'pickTurn': 7}, {'championId': 876, 'pickTurn': 8}, {'championId': 777, 'pickTurn': 9}, {'championId': 107, 'pickTurn': 10}]",na1
0,100,Win,False,True,True,True,False,True,9,2,1,2,0,2,0,"[{'championId': 51, 'pickTurn': 1}, {'championId': 555, 'pickTurn': 2}, {'championId': 777, 'pickTurn': 3}, {'championId': 350, 'pickTurn': 4}, {'championId': 107, 'pickTurn': 5}]",na1
1,200,Fail,True,False,False,False,True,False,2,0,0,1,0,0,0,"[{'championId': 51, 'pickTurn': 6}, {'championId': 92, 'pickTurn': 7}, {'championId': 22, 'pickTurn': 8}, {'championId': 517, 'pickTurn': 9}, {'championId': 120, 'pickTurn': 10}]",na1
0,100,Win,True,False,True,True,False,True,10,2,1,2,0,1,0,"[{'championId': 238, 'pickTurn': 1}, {'championId': 51, 'pickTurn': 2}, {'championId': 76, 'pickTurn': 3}, {'championId': 164, 'pickTurn': 4}, {'championId': 122, 'pickTurn': 5}]",na1
1,200,Fail,False,True,False,False,True,False,4,0,0,1,0,0,0,"[{'championId': 104, 'pickTurn': 6}, {'championId': 164, 'pickTurn': 7}, {'championId': 107, 'pickTurn': 8}, {'championId': 121, 'pickTurn': 9}, {'championId': 28, 'pickTurn': 10}]",na1
0,100,Fail,True,True,False,False,True,True,6,0,0,3,0,1,0,"[{'championId': 53, 'pickTurn': 1}, {'championId': 126, 'pickTurn': 2}, {'championId': 164, 'pickTurn': 3}, {'championId': 76, 'pickTurn': 4}, {'championId': 777, 'pickTurn': 5}]",na1
1,200,Win,False,False,True,True,False,False,10,1,2,2,0,1,0,"[{'championId': 236, 'pickTurn': 6}, {'championId': 53, 'pickTurn': 7}, {'championId': 39, 'pickTurn': 8}, {'championId': 432, 'pickTurn': 9}, {'championId': 164, 'pickTurn': 10}]",na1
0,100,Win,True,True,False,True,True,False,4,0,1,2,0,0,0,"[{'championId': 120, 'pickTurn': 1}, {'championId': 777, 'pickTurn': 2}, {'championId': 236, 'pickTurn': 3}, {'championId': 58, 'pickTurn': 4}, {'championId': 107, 'pickTurn': 5}]",na1
1,200,Fail,False,False,False,False,False,True,5,0,0,2,0,2,0,"[{'championId': 51, 'pickTurn': 6}, {'championId': 164, 'pickTurn': 7}, {'championId': -1, 'pickTurn': 8}, {'championId': 777, 'pickTurn': 9}, {'championId': 104, 'pickTurn': 10}]",na1
